ALG, INST, t[s], alpha, custo, custo_total, percent_total, melhor_custo, relacao_melhor, iteracao_melhor, grafo_nos, solucao_nos, grafo_arestas, solucao_arestas,,,,,,,,
A2, i04M1.dat,53.4294,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.8911,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.6538,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.9948,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,55.2171,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.7815,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.2658,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.9983,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.2185,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.7941,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.0536,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.7608,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.2253,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.2204,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.1875,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.1466,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.5797,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,57.4349,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.6116,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
